维度,具体能力,WritCraft V0 实现,竞品 1:Notion AI,竞品 2:Lex,竞品 3:Scrivener,竞品 4:Ulysses,竞品 5:iA Writer,证据等级,来源
AI 交互范式 1:Tab 内联补全,句子级 ghost text（替代代码行预测）,✅ M2.7-highspeed,< 200ms,✗ 替换式,✗ 替换式,✗ 无,✗ 无,✗ 无,A,T1 cursor-analysis.md
AI 交互范式 2:⌘K 悬浮修改,段落级 diff（删除线+高亮替代红绿）,✅ 接受/拒绝,✗ 块级重写,✅ 内联,✗ 无,✗ 无,✗ 无,A,T1 + T6
AI 交互范式 3:⌘L 全局对话,@chapter 引用替代 @file,✅ 1M context (M3),✅ Q&A,✅ 内联,✗ 无,✗ 无,✗ 无,A,T1
AI 交互范式 4:Composer 多文件,章节分解 + 任务卡片 + 中断恢复,✅ V0,✗ 弱,✗ 弱,✗ Corkboard (陈旧),✗ 无,✗ 无,B,T1 + T6
AI 交互范式 5:@引用与文件树,@chapter / @section 引用,✅ V0,✅ @page,✗ 弱,✅ 强 (大纲),✗ 强,✗ 弱,B,T6
AI 交互范式 6:Accept / Reject / 撤销,句 / 段 / 章三级审核,✅ V0,✅ 弱,✅ 强,✗ 无,✗ 无,✗ 无,A,T1
AI 交互范式 7:Plan Mode,5 模板（开头/主旨/大纲/立意/收尾）,✅ 可选辅助,✗ 无,✗ 无,Corkboard (20 年前),✗ 无,✗ 无,B,T2 + T3 + T8 N2
AI 交互范式 8:研究内联,⌘R 调学术数据库 + 自动脚注,✅ V0,✗ 需跳出,✗ 需跳出,✗ 需跳出,✗ 需跳出,✗ 需跳出,A,T4 + T6
AI 交互范式 9:多模态生成,图像插入 (image-01),✅ V0,✅ 弱,✗ 无,✗ 无,✗ 无,✗ 无,A,T4 + T5
AI 交互范式 10:结论溯源,每条 AI 输出标 结论/来源/边界,✅ V0,✗ 无,✗ 无,✗ 无,✗ 无,✗ 无,A,T4 + Max-AI 规范
写作 SOP 1:短篇小说 7 阶段,场景卡 + 分层修订,✅ Plan Mode 5 模板,✗ 需手动,✗ 需手动,Corkboard,✗ 无,✗ 无,A,T2 + T3 (King)
写作 SOP 2:长篇小说 7 阶段,卡片+伏笔总表,✅ 章节大纲树,✗ 弱,✗ 弱,Corkboard (强),✗ 强,✗ 无,A,T2 + T3 (Nabokov)
写作 SOP 3:方法论书籍 7 阶段,原则树+四维矩阵,✅ Plan Mode,✅ 通用,✗ 无,✗ 弱,✗ 弱,✗ 无,A,T2 + T3 (Dalio)
写作 SOP 4:学术综述 7 阶段,PRISMA Protocol,✅ Plan Mode + 脚注,✅ 协作,✗ 无,✗ 无,✗ 无,✗ 无,A,T2 + PRISMA 2020
MiniMax 模型 1:文本生成,M3 (1M context),✅ V0,✅ GPT-4o,✅ Claude 3.5,✗ 无,✗ 无,✗ 无,A,T5
MiniMax 模型 2:图像生成,image-01,✅ V0,✅ DALL-E 3,✗ 无,✗ 无,✗ 无,✗ 无,A,T5
MiniMax 模型 3:语音合成,Speech-2.8,V1+ 暂不做,✗ 无,✗ 无,✗ 无,✗ 无,✗ 无,A,T5
MiniMax 模型 4:文档理解,doc-01,V1+ 暂不做,✅ 内置,✗ 无,✗ 无,✗ 无,✗ 无,A,T5
MiniMax 模型 5:实时改写,M2.7-highspeed < 500ms,✅ V0,⚠ 慢,⚠ 慢,✗ 无,✗ 无,✗ 无,A,T5
合规硬规则 1:Human-in-the-loop,F1 强制人工审批,✅ V0,⚠ 部分,✅,✗,✗,✗,A,F1-F10
合规硬规则 2:撤销栈无限,F2 全操作可回滚,✅ V0,✅,✅,✅,✅,✅,A,F2
合规硬规则 3:结论溯源,F3 每条 AI 输出标 A/B/C/D,✅ V0,✗ 无,✗ 无,✗ 无,✗ 无,✗ 无,A,F3
合规硬规则 4:不替用户做价值判断,F4 AI 不写"我主张",✅ V0,⚠,✗,✗,✗,✗,A,F4
合规硬规则 5:不替用户做归属判断,F5 身份不冒认,✅ V0,✗,✗,✗,✗,✗,A,F5
编辑器底层 1:富文本编辑,TipTap (ProseMirror base),✅ V0 推荐,✅ 块,✅ 块,✗ 富文本,✅ Markdown,✗ Markdown,A,T6
编辑器底层 2:章节大纲树,左侧拖拽,✅ V0 推荐,✅ 树,✗ 无,✅ 强,✅ 强,✗ 无,B,T6
编辑器底层 3:扩展机制,tiptap-extension-kit,✅ 成熟,✅ 块,✗ 弱,✅ 弱,✗ 弱,✗ 弱,A,T6
编辑器底层 4:AI 集成模式,AI Toolkit + OpenAI-compat,⚠ 需绕开 (T8 D2),✅ 内置,✅ 内置,✗ 无,✗ 无,✗ 无,C,T6 + T8
编辑器底层 5:中文支持,标点/排版/简繁体,✅ 需适配,✅ 强,⚠ 弱,✗ 弱,✅ 强,✅ 强,B,T6
